Catelog Name,First Product Line,Second Product Line,Part Num,Internal Model,External Model,Min Price,Area Price,Standard Price,Release Status
Standalone,Intelligent Building,Access Control,1.0.01.25.12375,DHI-ASI1201E-V1,DHI-ASI1201E-V1,23.0,30.0,37.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12375-9001,DHI-ASI1201E-V1,DHI-ASI1201E-V1,23.0,30.0,37.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12376,DHI-ASI1201E-D-V1,DHI-ASI1201E-D-V1,23.0,30.0,37.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12376-9002,DHI-ASI1201E-D-V1,DHI-ASI1201E-D-V1,23.0,30.0,37.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12377,ASI1201E-V1,ASI1201E-V1,23.0,30.0,37.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12378,ASI1201E-D-V1,ASI1201E-D-V1,23.0,30.0,37.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12379,DHI-ASA2212GL,DHI-ASA2212GL,33.0,40.0,50.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12379-9002,DHI-ASA2212GL,DHI-ASA2212GL,33.0,40.0,50.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12380,DHI-ASA2212GL-D,DHI-ASA2212GL-D,33.0,40.0,50.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12380-9002,DHI-ASA2212GL-D,DHI-ASA2212GL-D,33.0,40.0,50.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12381,DHI-ASA2212GL-MEW,DHI-ASA2212GL-MEW,38.0,45.0,55.0,UnReleased
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12381-9002,DHI-ASA2212GL-MEW,DHI-ASA2212GL-MEW,38.0,45.0,55.0,Released
Time Attendance,Intelligent Building,Access Control,1.0.01.25.12382,ASA2212GL-MEW,ASA2212GL-MEW,38.0,45.0,55.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12389,DHI-ECC02,DHI-ECC02,80.0,120.0,200.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12389-9001,DHI-ECC02,DHI-ECC02,80.0,120.0,200.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12390,DHI-ASC4201C-D,DHI-ASC4201C-D,90.0,100.0,120.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12390-9001,DHI-ASC4201C-D,DHI-ASC4201C-D,90.0,100.0,120.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12392,DHI-ASC4204C-D,DHI-ASC4204C-D,130.0,150.0,170.0,Sample Release
Controllers,Intelligent Building,Access Control,1.0.01.25.12392-9001,DHI-ASC4204C-D,DHI-ASC4204C-D,130.0,150.0,170.0,Released
Controllers,Intelligent Building,Access Control,1.0.01.25.12393,DHI-ASC4201B-D,DHI-ASC4201B-D,40.0,45.0,55.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12393-9001,DHI-ASC4201B-D,DHI-ASC4201B-D,40.0,45.0,55.0,Released
Controllers,Intelligent Building,Access Control,1.0.01.25.12394,DHI-ASC4202B-D,DHI-ASC4202B-D,50.0,55.0,65.0,Sample Release
Controllers,Intelligent Building,Access Control,1.0.01.25.12394-9001,DHI-ASC4202B-D,DHI-ASC4202B-D,50.0,55.0,65.0,Released
Controllers,Intelligent Building,Access Control,1.0.01.25.12395,DHI-ASC4204B-S,DHI-ASC4204B-S,55.0,60.0,75.0,Sample Release
Controllers,Intelligent Building,Access Control,1.0.01.25.12395-9002,DHI-ASC4204B-S,DHI-ASC4204B-S,55.0,60.0,75.0,Released
Controllers,Intelligent Building,Access Control,1.0.01.25.12396,ASC4201B-D,ASC4201B-D,40.0,45.0,55.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12397,ASC4202B-D,ASC4202B-D,50.0,55.0,65.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12398,ASC4204B-S,ASC4204B-S,55.0,60.0,75.0,UnReleased
